subset_key,subset_label,layer_index,cosine_pair,n_families,mean_cosine,median_cosine
all_8_families,all 8 families,0,"cosine(false_pressure_delta, emotional_pressure_delta)",8,0.7903561592102051,0.8092546164989471
all_8_families,all 8 families,0,"cosine(false_pressure_delta, true_pressure_delta)",8,0.8447315394878387,0.8566161394119263
all_8_families,all 8 families,0,"cosine(false_pressure_delta, distractor_delta)",8,0.24003551341593266,0.20242756605148315
all_8_families,all 8 families,0,"cosine(false_pressure_delta, closed_context_delta)",8,0.53996242582798,0.5652803778648376
all_8_families,all 8 families,1,"cosine(false_pressure_delta, emotional_pressure_delta)",8,0.9237915202975273,0.9198963046073914
all_8_families,all 8 families,1,"cosine(false_pressure_delta, true_pressure_delta)",8,0.9501406103372574,0.9480611979961395
all_8_families,all 8 families,1,"cosine(false_pressure_delta, distractor_delta)",8,-0.0617610951885581,-0.06856156513094902
all_8_families,all 8 families,1,"cosine(false_pressure_delta, closed_context_delta)",8,0.7343047559261322,0.7362541258335114
all_8_families,all 8 families,2,"cosine(false_pressure_delta, emotional_pressure_delta)",8,0.8963610157370567,0.8967482149600983
all_8_families,all 8 families,2,"cosine(false_pressure_delta, true_pressure_delta)",8,0.963017649948597,0.9681219458580017
all_8_families,all 8 families,2,"cosine(false_pressure_delta, distractor_delta)",8,0.3498980086296797,0.3781685382127762
all_8_families,all 8 families,2,"cosine(false_pressure_delta, closed_context_delta)",8,0.64741525426507,0.6757865846157074
all_8_families,all 8 families,3,"cosine(false_pressure_delta, emotional_pressure_delta)",8,0.8730847537517548,0.871377170085907
all_8_families,all 8 families,3,"cosine(false_pressure_delta, true_pressure_delta)",8,0.9563120305538177,0.9597975015640259
all_8_families,all 8 families,3,"cosine(false_pressure_delta, distractor_delta)",8,0.29275523126125336,0.303293839097023
all_8_families,all 8 families,3,"cosine(false_pressure_delta, closed_context_delta)",8,0.5932412892580032,0.6013047397136688
all_8_families,all 8 families,4,"cosine(false_pressure_delta, emotional_pressure_delta)",8,0.8630092069506645,0.8691681623458862
all_8_families,all 8 families,4,"cosine(false_pressure_delta, true_pressure_delta)",8,0.9486880823969841,0.9509516954421997
all_8_families,all 8 families,4,"cosine(false_pressure_delta, distractor_delta)",8,0.38458435237407684,0.3831441253423691
