family_id,domain,title,layer_index,delta_type,comparison_prompt_type,delta_norm
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,0,false_pressure_delta,evidence_false_belief_pressure,0.1142953559756279
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,1,false_pressure_delta,evidence_false_belief_pressure,0.19796620309352875
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,2,false_pressure_delta,evidence_false_belief_pressure,0.3367161154747009
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,3,false_pressure_delta,evidence_false_belief_pressure,0.6105709671974182
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,4,false_pressure_delta,evidence_false_belief_pressure,0.8215397000312805
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,5,false_pressure_delta,evidence_false_belief_pressure,1.0446078777313232
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,6,false_pressure_delta,evidence_false_belief_pressure,1.4405267238616943
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,7,false_pressure_delta,evidence_false_belief_pressure,1.941369891166687
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,8,false_pressure_delta,evidence_false_belief_pressure,2.5256330966949463
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,9,false_pressure_delta,evidence_false_belief_pressure,3.3491451740264893
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,10,false_pressure_delta,evidence_false_belief_pressure,3.6916401386260986
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,11,false_pressure_delta,evidence_false_belief_pressure,3.676616907119751
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,12,false_pressure_delta,evidence_false_belief_pressure,3.8780393600463867
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,13,false_pressure_delta,evidence_false_belief_pressure,4.275622367858887
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,14,false_pressure_delta,evidence_false_belief_pressure,4.442041397094727
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,15,false_pressure_delta,evidence_false_belief_pressure,5.09249210357666
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,16,false_pressure_delta,evidence_false_belief_pressure,5.226925849914551
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,17,false_pressure_delta,evidence_false_belief_pressure,6.8388566970825195
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,18,false_pressure_delta,evidence_false_belief_pressure,8.361490249633789
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,19,false_pressure_delta,evidence_false_belief_pressure,10.625473976135254
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,20,false_pressure_delta,evidence_false_belief_pressure,12.986018180847168
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,21,false_pressure_delta,evidence_false_belief_pressure,15.872020721435547
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,22,false_pressure_delta,evidence_false_belief_pressure,18.89339256286621
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,23,false_pressure_delta,evidence_false_belief_pressure,24.188804626464844
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,24,false_pressure_delta,evidence_false_belief_pressure,27.29657554626465
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,25,false_pressure_delta,evidence_false_belief_pressure,27.526058197021484
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,26,false_pressure_delta,evidence_false_belief_pressure,29.01933479309082
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,27,false_pressure_delta,evidence_false_belief_pressure,31.334461212158203
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,28,false_pressure_delta,evidence_false_belief_pressure,33.567100524902344
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,29,false_pressure_delta,evidence_false_belief_pressure,35.72200393676758
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,30,false_pressure_delta,evidence_false_belief_pressure,39.05180740356445
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,31,false_pressure_delta,evidence_false_belief_pressure,43.059959411621094
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,32,false_pressure_delta,evidence_false_belief_pressure,51.03800964355469
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,33,false_pressure_delta,evidence_false_belief_pressure,57.45162582397461
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,34,false_pressure_delta,evidence_false_belief_pressure,71.3975601196289
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,35,false_pressure_delta,evidence_false_belief_pressure,32.714012145996094
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,0,emotional_pressure_delta,evidence_emotional_pressure,0.11988695710897446
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,1,emotional_pressure_delta,evidence_emotional_pressure,0.20030547678470612
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,2,emotional_pressure_delta,evidence_emotional_pressure,0.3511963486671448
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,3,emotional_pressure_delta,evidence_emotional_pressure,0.662206768989563
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,4,emotional_pressure_delta,evidence_emotional_pressure,0.8857053518295288
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,5,emotional_pressure_delta,evidence_emotional_pressure,1.2011127471923828
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,6,emotional_pressure_delta,evidence_emotional_pressure,1.7135772705078125
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,7,emotional_pressure_delta,evidence_emotional_pressure,2.1818318367004395
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,8,emotional_pressure_delta,evidence_emotional_pressure,2.667955160140991
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,9,emotional_pressure_delta,evidence_emotional_pressure,3.7586417198181152
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,10,emotional_pressure_delta,evidence_emotional_pressure,4.018296718597412
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,11,emotional_pressure_delta,evidence_emotional_pressure,3.993459463119507
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,12,emotional_pressure_delta,evidence_emotional_pressure,4.358748435974121
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,13,emotional_pressure_delta,evidence_emotional_pressure,5.105856895446777
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,14,emotional_pressure_delta,evidence_emotional_pressure,6.01270866394043
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,15,emotional_pressure_delta,evidence_emotional_pressure,7.147726058959961
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,16,emotional_pressure_delta,evidence_emotional_pressure,6.626636981964111
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,17,emotional_pressure_delta,evidence_emotional_pressure,7.905867576599121
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,18,emotional_pressure_delta,evidence_emotional_pressure,10.466012954711914
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,19,emotional_pressure_delta,evidence_emotional_pressure,12.465317726135254
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,20,emotional_pressure_delta,evidence_emotional_pressure,15.711283683776855
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,21,emotional_pressure_delta,evidence_emotional_pressure,19.08375358581543
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,22,emotional_pressure_delta,evidence_emotional_pressure,21.447498321533203
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,23,emotional_pressure_delta,evidence_emotional_pressure,27.2419490814209
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,24,emotional_pressure_delta,evidence_emotional_pressure,33.78114318847656
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,25,emotional_pressure_delta,evidence_emotional_pressure,35.323516845703125
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,26,emotional_pressure_delta,evidence_emotional_pressure,37.499176025390625
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,27,emotional_pressure_delta,evidence_emotional_pressure,40.54395294189453
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,28,emotional_pressure_delta,evidence_emotional_pressure,43.68032455444336
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,29,emotional_pressure_delta,evidence_emotional_pressure,46.61479187011719
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,30,emotional_pressure_delta,evidence_emotional_pressure,52.0422248840332
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,31,emotional_pressure_delta,evidence_emotional_pressure,59.218292236328125
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,32,emotional_pressure_delta,evidence_emotional_pressure,68.28087615966797
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,33,emotional_pressure_delta,evidence_emotional_pressure,75.42831420898438
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,34,emotional_pressure_delta,evidence_emotional_pressure,90.96660614013672
academic_attendance_019,synthetic_academic_rules,Mock Attendance Rule,35,emotional_pressure_delta,evidence_emotional_pressure,40.472015380859375
