layer_index,hidden_metric,behavior_metric,n_families,pearson_correlation,mean_hidden_metric,mean_abs_behavior_metric
0,false_pressure_delta_norm,abs(delta_false_pressure),8,0.7977833201600819,0.1426587589085102,1.9050791263580322
0,closed_context_delta_norm,abs(delta_closed_context),8,0.6515474075652703,0.25005115382373333,3.560102939605713
0,distractor_delta_norm,abs(delta_distractor),8,-0.13874191407139294,0.31036123260855675,1.4745821952819824
1,false_pressure_delta_norm,abs(delta_false_pressure),8,0.4169564622677986,0.5535349249839783,1.9050791263580322
1,closed_context_delta_norm,abs(delta_closed_context),8,-0.34600996449332394,0.9490637481212616,3.560102939605713
1,distractor_delta_norm,abs(delta_distractor),8,-0.3391408240656682,0.6709177419543266,1.4745821952819824
2,false_pressure_delta_norm,abs(delta_false_pressure),8,0.2563979201807494,1.119471937417984,1.9050791263580322
2,closed_context_delta_norm,abs(delta_closed_context),8,-0.010933511491500259,1.8692239969968796,3.560102939605713
2,distractor_delta_norm,abs(delta_distractor),8,-0.28622886084571886,1.0258575975894928,1.4745821952819824
3,false_pressure_delta_norm,abs(delta_false_pressure),8,0.5261419125468402,1.593383178114891,1.9050791263580322
3,closed_context_delta_norm,abs(delta_closed_context),8,0.011911305833172943,2.5782302618026733,3.560102939605713
3,distractor_delta_norm,abs(delta_distractor),8,-0.2921136797076188,1.421895146369934,1.4745821952819824
4,false_pressure_delta_norm,abs(delta_false_pressure),8,0.6767006297956457,1.6464576870203018,1.9050791263580322
4,closed_context_delta_norm,abs(delta_closed_context),8,0.11692562730664885,2.7277603447437286,3.560102939605713
4,distractor_delta_norm,abs(delta_distractor),8,-0.6178438719296356,1.5509458631277084,1.4745821952819824
5,false_pressure_delta_norm,abs(delta_false_pressure),8,0.47750767889741524,2.356358528137207,1.9050791263580322
5,closed_context_delta_norm,abs(delta_closed_context),8,-0.12819212670826202,3.5638294517993927,3.560102939605713
5,distractor_delta_norm,abs(delta_distractor),8,-0.06652425850028164,2.2266151010990143,1.4745821952819824
6,false_pressure_delta_norm,abs(delta_false_pressure),8,0.193177179246184,3.2382148802280426,1.9050791263580322
6,closed_context_delta_norm,abs(delta_closed_context),8,-0.11695482853554334,4.945556998252869,3.560102939605713
6,distractor_delta_norm,abs(delta_distractor),8,-0.35944096396546654,2.920008033514023,1.4745821952819824
7,false_pressure_delta_norm,abs(delta_false_pressure),8,0.4100847014740797,4.343441486358643,1.9050791263580322
7,closed_context_delta_norm,abs(delta_closed_context),8,-0.1092237477098172,6.813299655914307,3.560102939605713
7,distractor_delta_norm,abs(delta_distractor),8,-0.37033045087344646,4.905287683010101,1.4745821952819824
8,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.2274443080117572,6.794580161571503,1.9050791263580322
8,closed_context_delta_norm,abs(delta_closed_context),8,0.5402151893436549,9.328068971633911,3.560102939605713
8,distractor_delta_norm,abs(delta_distractor),8,0.11489572148520885,7.3296560645103455,1.4745821952819824
9,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.3563551888552605,10.481949925422668,1.9050791263580322
9,closed_context_delta_norm,abs(delta_closed_context),8,0.480865881127236,14.838409185409546,3.560102939605713
9,distractor_delta_norm,abs(delta_distractor),8,0.333741114948725,10.625479340553284,1.4745821952819824
10,false_pressure_delta_norm,abs(delta_false_pressure),8,0.16613846474433389,12.990699529647827,1.9050791263580322
10,closed_context_delta_norm,abs(delta_closed_context),8,0.6203469520707479,19.48689365386963,3.560102939605713
10,distractor_delta_norm,abs(delta_distractor),8,0.44902319864218876,13.838595509529114,1.4745821952819824
11,false_pressure_delta_norm,abs(delta_false_pressure),8,0.14615242536746428,16.203588366508484,1.9050791263580322
11,closed_context_delta_norm,abs(delta_closed_context),8,0.579425945230685,23.865970134735107,3.560102939605713
11,distractor_delta_norm,abs(delta_distractor),8,0.5462728919002476,16.676886200904846,1.4745821952819824
12,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.4604459982845528,20.86547088623047,1.9050791263580322
12,closed_context_delta_norm,abs(delta_closed_context),8,0.007033711927871553,29.31888723373413,3.560102939605713
12,distractor_delta_norm,abs(delta_distractor),8,0.502226040113353,19.879181623458862,1.4745821952819824
13,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.571637449131393,26.699478149414062,1.9050791263580322
13,closed_context_delta_norm,abs(delta_closed_context),8,0.1902936660031413,36.531461238861084,3.560102939605713
13,distractor_delta_norm,abs(delta_distractor),8,0.6327913790106322,23.696223497390747,1.4745821952819824
14,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.6133588314061075,30.808549880981445,1.9050791263580322
14,closed_context_delta_norm,abs(delta_closed_context),8,0.02846432370883989,43.999462604522705,3.560102939605713
14,distractor_delta_norm,abs(delta_distractor),8,0.5502247817091529,28.638470888137817,1.4745821952819824
15,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.38621465047554593,38.44035053253174,1.9050791263580322
15,closed_context_delta_norm,abs(delta_closed_context),8,0.054618926456510106,53.56165266036987,3.560102939605713
15,distractor_delta_norm,abs(delta_distractor),8,0.4504273583872572,35.222801208496094,1.4745821952819824
16,false_pressure_delta_norm,abs(delta_false_pressure),8,-0.29677456774751565,54.03421688079834,1.9050791263580322
16,closed_context_delta_norm,abs(delta_closed_context),8,0.32897231425294043,71.07821655273438,3.560102939605713
16,distractor_delta_norm,abs(delta_distractor),8,0.41135826924137103,44.87686824798584,1.4745821952819824
17,false_pressure_delta_norm,abs(delta_false_pressure),8,0.008621704393393418,74.74045944213867,1.9050791263580322
17,closed_context_delta_norm,abs(delta_closed_context),8,0.2284018315946038,98.34204959869385,3.560102939605713
17,distractor_delta_norm,abs(delta_distractor),8,0.1644639572332685,64.4365668296814,1.4745821952819824
18,false_pressure_delta_norm,abs(delta_false_pressure),8,0.013231065205603512,98.47347354888916,1.9050791263580322
18,closed_context_delta_norm,abs(delta_closed_context),8,0.316341546180824,128.0557985305786,3.560102939605713
18,distractor_delta_norm,abs(delta_distractor),8,0.24966513121854872,80.76487827301025,1.4745821952819824
19,false_pressure_delta_norm,abs(delta_false_pressure),8,0.14092305211964448,124.9089527130127,1.9050791263580322
19,closed_context_delta_norm,abs(delta_closed_context),8,0.21329069708057144,162.58919143676758,3.560102939605713
19,distractor_delta_norm,abs(delta_distractor),8,0.41363851232159315,101.38784408569336,1.4745821952819824
20,false_pressure_delta_norm,abs(delta_false_pressure),8,0.3181226556624829,153.2642593383789,1.9050791263580322
20,closed_context_delta_norm,abs(delta_closed_context),8,0.38714355696298697,200.1297435760498,3.560102939605713
20,distractor_delta_norm,abs(delta_distractor),8,0.5146923630054069,127.1924695968628,1.4745821952819824
21,false_pressure_delta_norm,abs(delta_false_pressure),8,0.395229894895436,201.2899341583252,1.9050791263580322
21,closed_context_delta_norm,abs(delta_closed_context),8,0.11537434046969396,259.98411750793457,3.560102939605713
21,distractor_delta_norm,abs(delta_distractor),8,0.7319546176142365,161.0185031890869,1.4745821952819824
22,false_pressure_delta_norm,abs(delta_false_pressure),8,0.5298891731699572,235.11471366882324,1.9050791263580322
22,closed_context_delta_norm,abs(delta_closed_context),8,0.19902028317351173,310.48093032836914,3.560102939605713
22,distractor_delta_norm,abs(delta_distractor),8,0.7095477179912287,187.3865852355957,1.4745821952819824
